article,content,target
我也有偶像的，他拍的大气，我拍不出的。。。, ,0
还有这张，也喜欢，往往惊喜是发生在一瞬间，关键要及时发现 ，及时捕捉。, ,0
喜欢这张，新娘很自然的表情, ,0
每场婚礼，总能拍到一些惊喜，但是也总会有些缺憾，慢慢进步吧，我不急，, ,0
希望明天别下雨 我想穿那条糖果色的新裙子 ... 睡了 晚安, ,0
上海女孩太可爱了 喜感十足哦 , ,0
让人不由还是相信爱情, ,0
总能在新人的身上看到些东西, ,0
咖啡又出新品种 , ,0
宝贝看完功夫熊猫 一脸满足 妈妈一小时队没白排, ,0
我烤了个披萨 香得来, ,0
好象很久没见蓝天白云了, ,0
下午茶时间, ,0
新天地真是美女如云 养眼哦, ,0
芒果多多+寒天冰球 某人自制的沁凉甜品...成就完美人生, ,0
豪爽的新娘 没挑银耳汤 坚持喝红酒..., ,0
准备敬新人的 哈哈 要是你 挑哪杯呢?, ,0
大美女们, ,0
狗仔队, ,0
瑞金宾馆的婚宴 实在是比马马虎虎还差一点 只好辣酱淘淘伊讲 杯具了, ,0
浇花咯 这两朵开得有够妖艳, ,0
切配完成 再过一个钟头开始热炒上桌 某人抓紧回来 给你过生日哦 [做鬼脸], ,0
很香 哦, ,0
成果丰盛 进烤箱咯, ,0
给小饼干挑模具 KITTY和小叮当 都是必须滴, ,0
现场直播 小梦媛DIY爱心小饼干 祝某人生日快乐!, ,0
女人味十足的琉璃挂饰 赞伐, ,0
美丽的不光是表情，美丽的是心情, ,0
偶尔客串婚礼摄影，很喜欢捕捉新娘那一天的美丽，每一个眼神与浅笑......这是最近拍的一场，看着她，真正体会女人如花，纯白的百合新娘。, ,0
逢周五 广发卡享受星巴克买一送一咯 30元两杯 赚到了, ,0
炖水蛋秘诀 蛋打匀加凉开水 蒸格的水烧开后放入大火蒸十分钟 我喜欢浇点酱味 嘻嘻 刚消灭一碗 美味哦 吃完想起忘拍照了 下次补..., ,0
骑车逛逛, ,0
我们家来了个活泼的小客人, ,0
特意挑了旗袍去圆明园，乱石沧桑，繁华如梦，还是那句话，珍惜当下！, ,0
在绿叶最鲜嫩的季节造访北京，第一天上长城风御裙袂；第二天访圆明园斜风细雨；第三天逛后海阳光明媚......等我们行程接近尾声才算领教到了北京的狂风沙尘。美食、美景、美好的心情！天遂人愿，一切圆满！  , ,0
如今只剩下石头了, ,0
到&quot;鸟窝&quot;咯 天气真好, ,0
好香哦 开动咯, ,0
京城第一餐 吃饱去长城, ,0
一夜被&quot;雷&quot;, ,0
公车２元 电影票３５元 带着小梦媛看了＂里约大冒险″ ９６分钟的欢乐时光 值得去看 推荐, ,0
喜欢港汇的天穹圆顶 坐着喝杯香醇的咖啡 似乎离幸福不太远, ,0
再来张一寸免冠报名照 闺名&quot;梅梅&quot; 天生丽质伐?, ,0
这小家伙出去度蜜月了 晒张艳照以示想念!, ,0
火车上实在太无聊 吃也吃过 睡也睡过 电脑玩到没电 小朋友只好折腾新买的小玩具, ,0
水平如镜, ,0
水库一隅 HDR之后效果惊艳, ,0
下雨 只好适当调整为室内活动 当地盛产木制玩具 这玩具城绝对给力哦, ,0
开窗见景, ,0
水库边豪华农家别墅 空气有点清甜, ,0
满满一台子哦 有机农家菜 猜猜饮料喝啥 答案等偶吃饱后公布 哈哈 开动, ,0
赞哦, ,0
带着我们上山的沈哥 有点领导风范伐 嘻嘻 这会儿雨大雾大 看不到咯 下山吃鱼去..., ,0
很漂亮吧, ,0
雨雾中的云和梯田, ,0
开动咯!, ,0
晚餐热气上桌 色味可以伐, ,0
这两天的草莓 蛮好吃的, ,0
 //@摄影师坏坏:, ,0
 灰哦，让我灰得更高。。。, ,0
我就喜欢阳光明媚的午后，我就喜欢开着小破车带上家人到处跑，我就喜欢小朋友们玩得正欢时相机刚好就在手边。。。“宝宝、泡泡”, ,0
太阳落山咯, ,0
强//@上海-MK-果粉:传统遗产要保护 // @Carrie尤尤 :哈哈 这个笑话经典 ~, ,0
天气真好 穿上新买的红T招摇过市 嘻嘻, ,0
皮蛋粥加乌龙茶, ,0
丁香花园喝早茶 窗外春光明媚, ,0
转发微博。, ,0
同意, ,0
气质很温婉嘛 //@微博搞笑排行榜:穿和服的小猫猫，萌！, ,0
杯具了 //@不一不饶://@MatthewGuo:无, ,0
我真的不知道。。。, ,0
晚安, ,0
好可爱 就是对这些毛茸茸的小家伙没有抵抗力, ,0
有得笑 不妨笑笑//@微博搞笑排行榜:, ,0
我承认 这样&quot;煽情&quot;还是蛮打动我滴, ,0
转发微博, ,0
我们都只是草//@MatthewGuo:无, ,0
"我蛮合算的 居然叫&quot;大姑&quot; 呵呵//@iShine影像小店: 守虎,貌似N个月之前做过的~~~ // @阿摄丁 :臭狗前来报到。^^ // @于其多 :回复 @我是南行 :还是一个属相 在古代要杀头不？ // @我是南行 :于姐啊，你和主席同一天生日啊！ // @于其多 :我叫臭翠", ,0
爱在此刻绚若烟火, ,0
你是人间四月天(春天的新娘 在镜头中如此甜美幸福), ,0
很有女人味 赞, ,0
转发微博, ,0
赞//@全球时尚:这么阳光！, ,0
别说我没警告你//@老男40:挺好玩是吧 小猫咪 // @妖草 : 犀利猫 // @团购信息小灵通 :眼神是亮点 // @翁文成_汉堡 : // @小贱猫Sophie :转发微博。, ,0
辣手哦 这个必须转 祝大家愚人节快乐, ,0
这妈当得。。。, ,0
哼哼，收藏。。。看你以后还敢骗我。。。, ,0
蛮可爱的 //@全球时尚:十二星座之植物大战僵尸，你是哪一只？, ,0
你别说 好象有那么点儿, ,0
这个可以期待一下的 //@全球时尚:光看图都有死的感觉, ,0
梦就该是这样的, ,0
世间事 除了生死 尽是闲事, ,0
经典哦, ,0
呵呵, ,0
春暖花开, ,0
有道理//@qliang:这句话也是对我说的。, ,0
实实在在在怀中, ,0
换个角度 一切都会变得不同, ,0
懂的入, ,0
哈哈, ,0
地球己改为振动模式//@马建功_samuel:全世界按照什么顺序在震惊？？？ // @北大新传徐泓 :转发微博。, ,0
转发微博, ,0
杀出重围咯, ,0
创意无限, ,0
哪能凶得来象蛮娘一样各, ,0
呵呵，同问。。。, ,0
赞的呀！很想拥有一支。, ,0
又一个天使归去。。。, ,0
今天你冲动了吗？, ,0
//@一日一美女:做一个徘徊在爱因斯坦和梦露之间的人~~~~~~~, ,0
转发微博。, ,0
//@微博搞笑排行榜:, ,0
有道理, ,0
安全第一哦, ,0
转发微博。, ,0
转发微博。, ,0
嘻嘻, ,0
温馨一幕 //@微博搞笑排行榜:好有爱, ,0
//@微博搞笑排行榜:, ,0
呵呵, ,0
很庆幸有你相伴让我远离寂寞 //@微博搞笑排行榜:上线，是为了打发寂寞？, ,0
强大的&quot;俗话说&quot;, ,0
转发微博。, ,0
//@微博搞笑排行榜:穿衣搭配的学问，学一学！, ,0
//@微博搞笑排行榜:太可爱了，抱走！, ,0
转发微博。, ,0
天生 一对, ,0
还有它，结棍了，美国冠军狗的后代，白色牧羊犬，售价24000, ,0
好多人带着自己的宝贝来的，这个绝对是场内焦点的大明星。, ,0
今天的宠物展，狗狗们好萌哟！这只是刚当妈妈的米格鲁。, ,0
转发微博。, ,0
转发微博。, ,0
转发微博。, ,0
可爱死了, ,0
你我眼中的美丽风景, ,0
"我是&quot;梦媛joyce&quot;, 我已经将名字改为&quot;梦媛之因缘而萌&quot;,请继续关注我哦~", ,0
"决心就是力量,信心就是成功! 小宾的超市完成了一次扩建.这是属于TA的时刻!过去看看http://t.cn/SAUfNV", ,0
"拼搏的汗水放射着事业的光芒,奋斗的年华里洋溢着人生的欢乐. 我的哈哈超市升级了!羡慕我就过来看看吧.过去看看http://t.cn/SAUfiT", ,0
来之不易啊，有木有，有木有！//@小宾 在小天地 获得了成就积分币增多了，获取速度超过了微博87%的玩家，你想和TA比试一下吗？http://game.weibo.com/xiaotiandi?origin=1004&origin_uid=10211, ,0
我玩微城市，获得了25金币，真不赖！ 今天我玩微城市获得了25金币。大家去玩微城市吧，每天登陆都会获得奖励开始游戏http://t.cn/SPZPKo, ,0
经过不懈的等待，终于利用食堂排队的时间收集到了新图鉴！ 完成新的图鉴^-^好友点击可种植椰树http://t.cn/asNnbs, ,0
升了我升了！今天你升了吗？升升更健康！ 等级提升^-^好友点击可获得南瓜http://t.cn/asNEBB, ,0
小宾达成新的成就【收藏新手：获得收藏品20次】！惊喜可是接连不断啊！ 完成了新的成就^-^好友点击可领养小鸡http://t.cn/asNEOb, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
小宾是个苦逼的程序员！他为了生活所迫，跳了5家公司，啃下10种计算机语言，加班了43950个小时，修改了54549个bug，完成了1342个项目，才拿400块钱的工资，真是苦逼的一生啊！快来测测你#人生中的数字#吧：http://t.cn/aFHeWv, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
"亲，能打败我不？ 斗技场碾压者又在斗技场碾压菜鸟了，我的植物军团太给力了！超越,Let's go!http://t.cn/agHflI", ,0
转发笑话：高一点 一天，小明的妈妈带小明去看芭蕾舞表演，第一次来看的小明见芭蕾舞演员都点着脚跳舞，好奇的问妈妈：“妈妈他们为什么不找一个高一点的演员呢？”, ,0
分享图片, ,0
转发笑话：语文课上，老师问道：“古时候，称呼‘我’的方式有哪些？” 同学们回答有：“吾，余。” 小明喊到：“寡人，朕啊，” 老师没理会他，又问：“还有哪些？” 小明又喊到：“老衲，贫僧，贫道啊，” 班里已经笑成一片。, ,0
分享图片, ,0
分享图片, ,0
转发笑话：、电视里正在转播一场高水平的橄榄球赛，玛丽大婶敲了敲邻居家的门。 “我能到你们家里来看电视吗？” “当然可以，快请进吧！，您家里的电视怎么了？” “谁知道怎么搞的，调了半天也不行，球赛中的那个球始终是扁的。, ,0
分享图片, ,0
转小笑话：整容科：现在，俺们可以把青蛙整成蝌蚪，把蛤蟆整成青蛙；把丑小鸭整成小天鹅，把赵本山整得像福娃。给蚊子整个双眼皮，给小猪安对象牙，如果您有任何需要，没说的，拿您开刀，让您好看，专门整人，整啥像啥。, ,0
test http://t.cn/aDrw39, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
"亲，能打败我不？ 斗技场碾压者又在斗技场碾压菜鸟了，我的植物军团太给力了！超越,Let's go!http://t.cn/agHflI", ,0
人品爆发，挡不住啊！ 人品大爆发在植物大战僵尸OL中，又开出好东西啦！看看TA得到了什么→http://t.cn/agHflI, ,0
"亲，能打败我不？ 斗技场碾压者又在斗技场碾压菜鸟了，我的植物军团太给力了！超越,Let's go!http://t.cn/agHflI", ,0
僵尸们个个都有凶残能力，伤不起啊！ 凶残僵尸来袭手一滑，又开了一个僵尸洞；有更强大的僵尸可以挑战了看我来收拾他们！http://t.cn/agHflI, ,0
test, ,0
此时此刻，我泪流满面，微博给我颁发了【三好学生】勋章，我终于成为一名有身份的人！快去完善你的教育信息领取三好学生勋章吧！ http://t.cn/aEOcbF, ,0
不要羡慕，你也可以的！//@小宾 在快乐岛主的好友数排行的全站排名突破300，超过了97%的玩家。http://t.cn/aWGiwY, ,0
不要羡慕，你也可以的！//@小宾 在微城市的最繁华的城市的全站排名突破700，超过了83%的玩家。http://t.cn/alAPSq, ,0
哈哈，我现在是一名市长了，开始建造一座自己梦想的城市。 小宾现在成为了一名市长！他正在建造一座属于他自己的城市。开始游戏http://t.cn/al2ZWk, ,0
我参与了投票【你对中国红十字会的信任度有多高？】 http://t.cn/aCXtxB  投给&quot;0%&quot; 这1个选项, ,0
我的微博地址更新啦！http://weibo.com/uc10211 ，常来玩哦~, ,0
据测试，@邓小宾 还可以活66年，寿命长度击败了全国79.44%的测试者，预测未来挂掉的原因是：殉情。#测测你还能活多久#，你们也来试试吧！http://t.cn/aKB1yK, ,0
在#真心话大冒险#@艳博:你打篮球的偶像是勒布朗詹姆斯，而勒布朗詹姆斯的偶像是我！, ,0
我开始玩魔法版微博了，你也来试试吧，左边右边一起阅读，不用跳转来跳转去啦~http://t.cn/hdq7Gu, ,0
我开始使用 @vibo微视频 了，有了 TA 我可以方便地和微博好友进行面对面的视频聊天。想试试吗？ 赶快点击这个链接: http://t.cn/hGbg1c 开始使用 vibo 吧！, ,0
//@一小一://@闫祥://@童剑:好吧，这个必须要转的，作为最基本的，需要让一些人明白即使从内网其他机器上取回数据也总比本地磁盘读取要快（穿透读的情况下）//@DRDRXP:转发微博。, ,0
转发微博。, ,0
//@邱春武:学习转发 //@王红阳:使用这个命令比较好 date &amp;&amp; dstat -tclmdny 60 //@王红阳:mark, ,0
：）典型的南方风景, ,0
#李斌龚翼婚礼#恭喜恭喜!, ,0
 ，貌似我还去不了女洗手间 //@水寿:是男洗手间吗？ //@小宾:在洗手间压根就没有信号, ,0
在洗手间压根就没有信号, ,0
我刚加入了“IT运行维护服务”微群 http://t.cn/hqTbYc 推荐大家也来看看~, ,0
#新浪年会#年会终于快开始了, ,0
新浪年会, ,0
恭喜恭喜！！, ,0
我通过 @互粉查询 计算出我的微博的互粉率是 75%，感觉不低。 你也来看看你的互粉率吧！http://t.cn/h4xFyq, ,0
转发自@微盘 ( http://www.vdisk.me ) 超好用的免费网盘! , ,0
转发微博, ,0
转发微博。, ,0
#新浪年会#节目够风趣, ,0
#新浪年会#十年贡献奖今年比去年多了好多人, ,0
#新浪年会##新浪年会#幸运大奖等着你, ,0
太有才了 《都是人才啊~笑死我了》 http://t.cn/ho8kv, ,0
《最流行的男女笑话一则》 http://t.cn/h68ch, ,0
《中国比美国先进的武器一览表》 http://t.cn/h6Eqn, ,0
聊天室程序趴窝了，郁闷, ,0
据说百度北京总部某员工因为甲流医治无效已于昨天去世! 不知道是不是真的, ,0
《西方指亚洲水稻排放温室气体》 http://t.cn/hJHPB, ,0
H1N1打疫苗已经一天了好像貌似没有什么不适, ,0
经济危机还没有过去呀 《原油黄金期价跌幅均超4%》 http://t.cn/hxNbt, ,0
如果现在生活在广西，香蕉一定可以管饱 《广西香蕉价格跌至每斤0.2元》 http://t.cn/hMsHT, ,0
《日新型流感疫苗接种后10人死》 http://t.cn/hM0r6, ,0
《男子扶跌倒孕妇遭索赔2000元》 http://t.cn/hMjAI, ,0
《解聘病危教授显医疗教育困境》 http://t.cn/hMjwW, ,0
《解聘病危教授显医疗教育困境》 http://t.cn/hMjwW, ,0
第一次用手机上微博，发现这东东在上下班的时候消磨时间很不错, ,0
爸爸带着小儿子气喘吁吁地爬到山顶。爸爸说：“快看哪，我们脚下的一片平原景色多好！” “既然下面的景色好，我们干吗要花3个小时爬到上面来呢?爸爸。”, ,0
外面下着大雪，不想出去，定了个外卖都快1个小时了还没有到，彻底无语！！！, ,0
定向广告推广，新的广告投递方式, ,0
网盘的服务器还没有着落，郁闷中。。。。, ,0
周末去了一趟香河，感觉家具城鱼龙混杂，买家具门道太多了, ,0
一大学生被敌人抓了，敌人把他绑在了电线杆上，然后问他：说，你是哪里的？不说就电死你！大　　学生回了敌人一句话，结果被电死了，他说：我是电大的！, ,0
猴子拣到一个卡，它想看清楚是啥卡，就爬到树枝上看，这时一个雷击中了它。猴子哭着说：原来是IP卡啊！, ,0
一条警犬看到马路上过来一条普通狗，就气势凶凶地跑去质问它：我是警犬，你是什么东西？普通狗不屑一顾地看看它说：蠢货，看清楚点，老子是便衣！, ,0
母老鼠怀疑她丈夫有外遇。一天，她便悄悄地跟随其后。突然，丈夫一头闯进灌木丛中，不久出来一刺猬。母老鼠一把揪住刺猬：“还说没外遇，说！打这么多摩丝去勾引谁？”, ,0
老奶奶看完赛跑后惊呼：“真吓人，挖煤的跪成一排，有人要枪毙他们，可没瞄准就开枪了。娃子们吓的那个跑呀！绳子都拦不住！, ,0
刚刚结束ITSM/ITIL内容做培训，服务很重要呀, ,0
msn绑定功能还是很好用的，就是如果粉丝多了可能的消息比较多, ,0
开通msn绑定了, ,0
(R), ,0
迪斯尼落户上海，去上海多一个可以玩的地方了, ,0
上帝想听歌了，带走了陈琳；上帝想看跳舞了，带走了MJ；上帝想看AV了，带走了饭岛爱；上帝想看CCTV，带走了罗京；上帝想看漫画了，带走了“小新的爸爸”；上帝想看科学，带走了钱学森；上帝啊，你为什么不看中国足球呢？上帝说：你当我傻B啊..., ,0
文化部和版署打起来了, ,0
:)@hynnie, ,0
终于收房了！, ,0
&lt;sina:link src=&quot;http://t.sina.com.cn/1259295385/4zQq1cEq&quot;/&gt;, ,0
终于上来了，打个招呼, ,0
对@你狠_ok么 说：哈喽, ,0
右眼眼角靠近太阳穴的地方疼。#求医#。。, ,0
Hailo：永久改变人们预订出租车的方式——百度新闻搜索 http://t.cn/SwtDvX 我想到了这个应用，可是无法去实施。, ,0
哦。忘了，今天早上媳妇打电话说：儿子会自己走路了。真是高兴啊。呵呵。我这当父亲的，太不称职了，先在才想起来庆祝一下。。, ,0
电信联通遭反垄断调查 源起去年规模断网事件_科技_腾讯网 http://t.cn/SwZFaY 关我鸟事，反正都是国家的钱，左口袋放右口袋罢了。要说垄断得看中石油跟中石化。, ,0
工作的选择。, ,0
国脚批动员会无用:战前必须看开点 踢再差能怎样_体育跟贴_网易跟贴 http://t.cn/SZoeLT 中国足球就剩下一群球迷自娱自乐了。, ,0
还用部队，直接抽调我国战无不胜的城管队伍。保证军饷都不用。可直接踏平金三角 中国或派规模超千人部队护航湄公河_网易新闻中心 http://t.cn/SZoYGI, ,0
听了几首现在挺火的歌，一个比一个没劲，都是催眠效果很好的歌曲，还是听零点乐队跟迪克牛仔的歌吧。。, ,0
江苏兴化一女婴深夜在医院被偷走 警方缉拿嫌犯_齐鲁网 http://t.cn/SZUIMj 太不小心了，我媳妇生孩子的时候，医生几乎每天告诫产妇及亲属“无论谁，即使是医生也不能随便抱走小孩，孩子时刻要和大人在一起”。晚上睡觉要用椅子挡住病房的门，这样有人进门也能听到。, ,0
我突然想到一件事情。当我在#河北鼎新#工作5个月的时候开始单独负责项目。在离职的时候研发经理说;你值2800，但是公司不能提供这样的薪酬，这样会使公司研发成本推高很高。在创天工作满一年了，工资又一次提升，职位也做了改变。我在想，是不是我真的可以尝试做项目管理工作。这是一种错觉吗？, ,0
快30的人了。头一次听说大学还有个专业叫#人类学#, ,0
不知道说什么。因为我一直在努力，一直都按照自己的步伐前进，突然之间被拉了一下，这个力让我有些小不安，小不安的心需要一段时间稳定下来，消化这个力。经过昨天、今天的过度，心情平淡，在脑子热了一下以后，工作回归常态，以后我可以把我的思想注入到别人的工作中了。这来的有点儿快。, ,0
北京是一个有欲望的城市，充满机会的城市，充满梦想的城市。但是每一个去北京追梦的人都别忘了，北京是一个特别现实的城市。追梦以前首先称一下几斤几两。, ,0
对@闯业的人 说：搞定。但是还有些小不满意。明天事情还很多。睡觉了, ,0
